,en,ru
RED_CRIMSON_WHIRL_4,"Deal red damage(160% ATK) to all enemies. For each killed enemy regenerate 25% max HP.","Нанесите всем врагам красный урон(160% АТК). За каждого убитого противника вы восстанавливаете 25% максимального ХП."
RED_CRIMSON_WHIRL_5,"Deal red damage(200% ATK) to all enemies. For each killed enemy regenerate 30% max HP.","Нанесите всем врагам красный урон(200% АТК). За каждого убитого противника вы восстанавливаете 30% максимального ХП."
Crimson Whirl,Crimson Whirl,Алый Вихрь
Red_Crimson_Whirl,Crimson Whirl,Алый Вихрь
RED_ADRENALIN_RUSH_1,"Deal red damage(200% ATK) to one enemy. If Salim has less HP procentage than the target or has 10% of max HP, damage is increased by 50%, otherwise Salim looses 10% max HP.","Нанесите красный урон(200% АТК) одному врагу. Если у Салима меньше процентов ХП, чем у цели или у него только 10% от максимального ХП, урон увеличивается на 50%, в ином случае Салим теряет 10% максимального ХП."
RED_ADRENALIN_RUSH_2,"Deal red damage(220% ATK) to one enemy. If Salim has less HP procentage than the target or has 10% of max HP, damage is increased by 60%, otherwise Salim looses 10% max HP.","Нанесите красный урон(220% АТК) одному врагу. Если у Салима меньше процентов ХП, чем у цели или у него только 10% от максимального ХП, урон увеличивается на 60%, в ином случае Салим теряет 10% максимального ХП."
RED_ADRENALIN_RUSH_3,"Deal red damage(240% ATK) to one enemy. If Salim has less HP procentage than the target or has 10% of max HP, damage is increased by 70%, otherwise Salim looses 10% max HP.","Нанесите красный урон(240% АТК) одному врагу. Если у Салима меньше процентов ХП, чем у цели или у него только 10% от максимального ХП, урон увеличивается на 70%, в ином случае Салим теряет 10% максимального ХП."
RED_ADRENALIN_RUSH_4,"Deal red damage(260% ATK) to one enemy. If Salim has less HP procentage than the target or has 10% of max HP, damage is increased by 80%, otherwise Salim looses 10% max HP.","Нанесите красный урон(260% АТК) одному врагу. Если у Салима меньше процентов ХП, чем у цели или у него только 10% от максимального ХП, урон увеличивается на 80%, в ином случае Салим теряет 10% максимального ХП."
RED_ADRENALIN_RUSH_5,"Deal red damage(300% ATK) to one enemy. If Salim has less HP procentage than the target or has 10% of max HP, damage is increased by 100%, otherwise Salim looses 10% max HP.","Нанесите красный урон(300% АТК) одному врагу. Если у Салима меньше процентов ХП, чем у цели или у него только 10% от максимального ХП, урон увеличивается на 100%, в ином случае Салим теряет 10% максимального ХП."
Adrenalin Rush,Adrenalin Rush,Всплеск Адреналина
Red_Adrenalin_Rush,Adrenalin Rush,Всплеск Адреналина
RED_FURY_1,"Every time Salim takes damage while shield isn't active, there's a 30% chance he'll increase his ATK by 2 for this fight(max 5 stacks).","Каждый раз, когда Салим получает урон, пока щит не активен, с 30% шансом он повышает АТК на 2 на этот бой(максимум 5 раз за бой)."
RED_FURY_2,"Every time Salim takes damage while shield isn't active, there's a 40% chance he'll increase his ATK by 3 for this fight(max 5 stacks).","Каждый раз, когда Салим получает урон, пока щит не активен, с 40% шансом он повышает АТК на 3 на этот бой(максимум 5 раз за бой)."
RED_FURY_3,"Every time Salim takes damage while shield isn't active, there's a 50% chance he'll increase his ATK by 4 for this fight(max 5 stacks).","Каждый раз, когда Салим получает урон, пока щит не активен, с 50% шансом он повышает АТК на 4 на этот бой(максимум 5 раз за бой)."
RED_FURY_4,"Every time Salim takes damage while shield isn't active, there's a 60% chance he'll increase his ATK by 5 for this fight(max 5 stacks).","Каждый раз, когда Салим получает урон, пока щит не активен, с 60% шансом он повышает АТК на 5 на этот бой(максимум 5 раз за бой)."
RED_FURY_5,"Every time Salim takes damage while shield isn't active, there's a 70% chance he'll increase his ATK by 6 for this fight(max 5 stacks).","Каждый раз, когда Салим получает урон, пока щит не активен, с 70% шансом он повышает АТК на 6 на этот бой(максимум 5 раз за бой)."
Passive: Fury,Passive: Fury,Пассивный Навык: Ярость
Fury,Fury,Ярость
Red_Fury,Fury,Ярость
RED_CRITICAL_LINE_1,"Critical hits with red attacks regenerate 50% of damage dealt HP.","Критические попадания красными атаками восстанавливают 50% от нанесенного урона ХП."
RED_CRITICAL_LINE_2,"Critical hits with red attacks regenerate 60% of damage dealt HP.","Критические попадания красными атаками восстанавливают 60% от нанесенного урона ХП."
RED_CRITICAL_LINE_3,"Critical hits with red attacks regenerate 80% of damage dealt HP.","Критические попадания красными атаками восстанавливают 80% от нанесенного урона ХП."
RED_CRITICAL_LINE_4,"Critical hits with red attacks regenerate 90% of damage dealt HP.","Критические попадания красными атаками восстанавливают 90% от нанесенного урона ХП."
RED_CRITICAL_LINE_5,"Critical hits with red attacks regenerate 100% of damage dealt HP.","Критические попадания красными атаками восстанавливают 100% от нанесенного урона ХП."
Passive: Critical Line,Passive: Critical Line,Пассивный Навык: Критическая Линия
Critical Line,Critical Line,Критическая Линия
Red_Critical_Line,Critical Line,Критическая Линия
RED_DANCE_OF_DEATH_1,"ATK +12 for 3 turns.\nDeal red damage(200% ATK) to one enemy. For the next 3 turns Salim and this enemy ignore resistances of each other.","АТК +12 на 3 хода.\nНанесите красный урон(200% АТК) одному врагу. В течение следующих 3 ходов Салим и это существо игнорируют сопротивления друг друга."
RED_DANCE_OF_DEATH_2,"ATK +14 for 3 turns.\nDeal red damage(250% ATK) to one enemy. For the next 3 turns Salim and this enemy ignore resistances of each other.","АТК +14 на 3 хода.\nНанесите красный урон(250% АТК) одному врагу. В течение следующих 3 ходов Салим и это существо игнорируют сопротивления друг друга."
RED_DANCE_OF_DEATH_3,"ATK +17 for 4 turns.\nDeal red damage(300% ATK) to one enemy. For the next 4 turns Salim and this enemy ignore resistances of each other.","АТК +17 на 4 хода.\nНанесите красный урон(300% АТК) одному врагу. В течение следующих 4 ходов Салим и это существо игнорируют сопротивления друг друга."
RED_DANCE_OF_DEATH_4,"ATK +21 for 4 turns.\nDeal red damage(400% ATK) to one enemy. For the next 4 turns Salim and this enemy ignore resistances of each other.","АТК +21 на 4 хода.\nНанесите красный урон(400% АТК) одному врагу. В течение следующих 4 ходов Салим и это существо игнорируют сопротивления друг друга."
RED_DANCE_OF_DEATH_5,"ATK +25 for 5 turns.\nDeal red damage(500% ATK) to one enemy. For the next 5 turns Salim and this enemy ignore resistances of each other.","АТК +25 на 5 хода.\nНанесите красный урон(500% АТК) одному врагу. В течение следующих 5 ходов Салим и это существо игнорируют сопротивления друг друга."
Ultimate: Dance Of Death,Ultimate: Dance Of Death,Ультимейт: Танец Смерти
Dance Of Death,Dance Of Death,Танец Смерти
Red_Dance_Of_Death,Dance Of Death,Танец Смерти
"Let's give into the temptation and dance together!","Let's give into the temptation and dance together!","Давай же отдадимся страстям и станцуем вместе!"
RED_BLOOD_MOON_1,"ATK +10 and DEF -10 for 3 turns.\nFor the next 3 turns all attacks are guaranteed to hit and ignore 10% of enemies DEF.","АТК +10 и DEF -10 на 3 хода.\nВ течение 3 ходов все атаки гарантированно попадают и игнорируют 10% DEF врагов."
RED_BLOOD_MOON_2,"ATK +15 and DEF -15 for 3 turns.\nFor the next 3 turns all attacks are guaranteed to hit and ignore 20% of enemies DEF.","АТК +15 и DEF -15 на 3 хода.\nВ течение 3 ходов все атаки гарантированно попадают и игнорируют 20% DEF врагов."
RED_BLOOD_MOON_3,"ATK +20 and DEF -20 for 4 turns.\nFor the next 4 turns all attacks are guaranteed to hit and ignore 30% of enemies DEF.","АТК +20 и DEF -20 на 4 хода.\nВ течение 4 ходов все атаки гарантированно попадают и игнорируют 30% DEF врагов."
RED_BLOOD_MOON_4,"ATK +25 and DEF -25 for 4 turns.\nFor the next 4 turns all attacks are guaranteed to hit and ignore 40% of enemies DEF.","АТК +25 и DEF -25ина 4 хода.\nВ течение 4 ходов все атаки гарантированно попадают и игнорируют 40% DEF врагов."
RED_BLOOD_MOON_5,"ATK +30 and DEF -30 for 5 turns.\nFor the next 5 turns all attacks are guaranteed to hit and ignore 50% of enemies DEF.","АТК +30 и DEF -30 на 5 хода.\nВ течение 5 ходов все атаки гарантированно попадают и игнорируют 50% DEF врагов."
Ultimate: Blood Moon,Ultimate: Blood Moon,Ультимейт: Кровавая Луна
Blood Moon,Blood Moon,Кровавая Луна
Red_Blood_Moon,Blood Moon,Кровавая Луна
"The moon I cherish now accepts my anguish.","The moon I cherish now accepts my anguish.","Луна, коей дорожу, в сей момент вбирает мои муки."
ORANGE_BREAK_IN_DEFENSE_1,"On hit deal orange damage(80% ATK) to one enemy and inflict Fragile(20%) for 2 turns.","При попадании нанесите оранжевый урон(80% АТК) одному врагу и наложите Уязвимость(20%) на 2 хода."
ORANGE_BREAK_IN_DEFENSE_2,"On hit deal orange damage(100% ATK) to one enemy and inflict Fragile(25%) for 2 turns.","При попадании нанесите оранжевый урон(100% АТК) одному врагу и наложите Уязвимость(25%) на 2 хода."
ORANGE_BREAK_IN_DEFENSE_3,"On hit deal orange damage(120% ATK) to one enemy and inflict Fragile(30%) for 3 turns.","При попадании нанесите оранжевый урон(120% АТК) одному врагу и наложите Уязвимость(30%) на 3 хода."
ORANGE_BREAK_IN_DEFENSE_4,"On hit deal orange damage(160% ATK) to one enemy and inflict Fragile(35%) for 3 turns.","При попадании нанесите оранжевый урон(160% АТК) одному врагу и наложите Уязвимость(35%) на 3 хода."
ORANGE_BREAK_IN_DEFENSE_5,"On hit deal orange damage(200% ATK) to one enemy and inflict Fragile(40%) for 4 turns.","При попадании нанесите оранжевый урон(200% АТК) одному врагу и наложите Уязвимость(40%) на 4 хода."
Break In Defense,Break In Defense,Брешь В Защите
Orange_Break_In_Defense,Break In Defense,Брешь В Защите
ORANGE_SPIKED_SHIELD_1,"Gain a shield with 300% DEF HP for 3 turns. This shield reflects damage taken by shield as an orange damage onto attacker.","Получите щит с 300% DEF ХП на 3 хода. Данный щит отражает в атакующего полученный урон в виде оранжевого урона."
ORANGE_SPIKED_SHIELD_2,"Gain a shield with 400% DEF HP for 3 turns. This shield reflects damage taken by shield as an orange damage onto attacker.","Получите щит с 400% DEF ХП на 3 хода. Данный щит отражает в атакующего полученный урон в виде оранжевого урона."
ORANGE_SPIKED_SHIELD_3,"Gain a shield with 500% DEF HP for 4 turns. This shield reflects damage taken by shield as an orange damage onto attacker.","Получите щит с 500% DEF ХП на 4 хода. Данный щит отражает в атакующего полученный урон в виде оранжевого урона."
ORANGE_SPIKED_SHIELD_4,"Gain a shield with 600% DEF HP for 4 turns. This shield reflects damage taken by shield as an orange damage onto attacker.","Получите щит с 600% DEF ХП на 4 хода. Данный щит отражает в атакующего полученный урон в виде оранжевого урона."
ORANGE_SPIKED_SHIELD_5,"Gain a shield with 800% DEF HP for 5 turns. This shield reflects damage taken by shield as an orange damage onto attacker.","Получите щит с 800% DEF ХП на 5 ходов. Данный щит отражает в атакующего полученный урон в виде оранжевого урона."
Spiked Shield,Spiked Shield,Шипованный Щит
Orange_Spiked_Shield,Spiked Shield,Шипованный Щит
ORANGE_STONE_SHIELD_1,"Gain a shield with 600% DEF HP for 3 turns. While this shield is active all hits on Salim's weaknesses are considered normal hits.","Получите щит с 600% DEF ХП на 3 хода. Пока данный щит активен, попадания по слабостям Салима считаются обычными попаданиями."
ORANGE_STONE_SHIELD_2,"Gain a shield with 700% DEF HP for 3 turns. While this shield is active all hits on Salim's weaknesses are considered normal hits.","Получите щит с 700% DEF ХП на 3 хода. Пока данный щит активен, попадания по слабостям Салима считаются обычными попаданиями."
ORANGE_STONE_SHIELD_3,"Gain a shield with 800% DEF HP for 4 turns. While this shield is active all hits on Salim's weaknesses are considered normal hits.","Получите щит с 800% DEF ХП на 4 хода. Пока данный щит активен, попадания по слабостям Салима считаются обычными попаданиями."
ORANGE_STONE_SHIELD_4,"Gain a shield with 1000% DEF HP for 4 turns. While this shield is active all hits on Salim's weaknesses are considered normal hits.","Получите щит с 1000% DEF ХП на 4 хода. Пока данный щит активен, попадания по слабостям Салима считаются обычными попаданиями."
ORANGE_STONE_SHIELD_5,"Gain a shield with 1200% DEF HP for 5 turns. While this shield is active all hits on Salim's weaknesses are considered normal hits.","Получите щит с 1200% DEF ХП на 5 хода. Пока данный щит активен, попадания по слабостям Салима считаются обычными попаданиями."
Stone Shield,Stone Shield,Каменный Щит
Orange_Stone_Shield,Stone Shield,Каменный Щит
ORANGE_CLEANSING_1,"Restore 200% of DEF HP and get rid of all debuffs on yourself, increasing RES by 10 for 3 turns.\nThis skill cannot be silenced.","Вы восстанавливаету себе 200% DEF ХП и снимаету с себя все дебаффы и повышая RES на 10 на 3 хода.\nДанная способность не может быть заблокирована."
ORANGE_CLEANSING_2,"Restore 250% of DEF HP and get rid of all debuffs on yourself, increasing RES by 15 for 3 turns.\nThis skill cannot be silenced.","Вы восстанавливаету себе 250% DEF ХП и снимаету с себя все дебаффы и повышая RES на 15 на 3 хода.\nДанная способность не может быть заблокирована."
ORANGE_CLEANSING_3,"Restore 300% of DEF HP and get rid of all debuffs on yourself, increasing RES by 20 for 4 turns.\nThis skill cannot be silenced.","Вы восстанавливаету себе 300% DEF ХП и снимаету с себя все дебаффы и повышая RES на 20 на 4 хода.\nДанная способность не может быть заблокирована."
ORANGE_CLEANSING_4,"Restore 400% of DEF HP and get rid of all debuffs on yourself, increasing RES by 25 for 4 turns.\nThis skill cannot be silenced.","Вы восстанавливаету себе 400% DEF ХП и снимаету с себя все дебаффы и повышая RES на 25 на 4 хода.\nДанная способность не может быть заблокирована."
ORANGE_CLEANSING_5,"Restore 500% of DEF HP and get rid of all debuffs on yourself, increasing RES by 30 for 5 turns.\nThis skill cannot be silenced.","Вы восстанавливаету себе 500% DEF ХП и снимаету с себя все дебаффы и повышая RES на 30 на 5 ходов.\nДанная способность не может быть заблокирована."
Cleansing,Cleansing,Очищение
Orange_Cleansing,Cleansing,Очищение
ORANGE_STUN_1,"Deal orange damage(100% ATK) to all enemies and inflict Silence on them for 2 turns.","Нанесите оранжевый урон(100% ATK) всем врагам и наложите Молчание на них на 2 хода."
ORANGE_STUN_2,"Deal orange damage(120% ATK) to all enemies and inflict Silence on them for 2 turns.","Нанесите оранжевый урон(120% ATK) всем врагам и наложите Молчание на них на 2 хода."
ORANGE_STUN_3,"Deal orange damage(140% ATK) to all enemies and inflict Silence on them for 3 turns.","Нанесите оранжевый урон(140% ATK) всем врагам и наложите Молчание на них на 3 хода."
ORANGE_STUN_4,"Deal orange damage(160% ATK) to all enemies and inflict Silence on them for 3 turns.","Нанесите оранжевый урон(160% ATK) всем врагам и наложите Молчание на них на 3 хода."
ORANGE_STUN_5,"Deal orange damage(200% ATK) to all enemies and inflict Silence on them for 4 turns.","Нанесите оранжевый урон(200% ATK) всем врагам и наложите Молчание на них на 4 хода."
Stun,Stun,Оглушение
Orange_Stun,Stun,Оглушение
ORANGE_BDIGO_1,"10% of Salim's DEF adds to his ATK.","10% DEF Салима прибавляются к его АТК."
ORANGE_BDIGO_2,"20% of Salim's DEF adds to his ATK.","20% DEF Салима прибавляются к его АТК."
ORANGE_BDIGO_3,"30% of Salim's DEF adds to his ATK.","30% DEF Салима прибавляются к его АТК."
ORANGE_BDIGO_4,"40% of Salim's DEF adds to his ATK.","40% DEF Салима прибавляются к его АТК."
ORANGE_BDIGO_5,"50% of Salim's DEF adds to his ATK.","50% DEF Салима прибавляются к его АТК."
Passive: Best Defense Is Good Offense,Passive: Best Defense Is Good Offense,Пассивный Навык: Лучшая Защита - Это Нападение
Orange_BDIGO,Best Defense Is Good Offense,Лучшая Защита - Это Нападение
Best Defense Is Good Offense,Best Defense Is Good Offense,Лучшая Защита - Это Нападение
ORANGE_RECOIL_1,"When any shield breaks or ends inflict Fragile(10%) on all enemies for 2 turns.","Когда любой щит ломается или время его действия кончается, наложите Уязвимость(10%) на всех врагов на 2 хода."
ORANGE_RECOIL_2,"When any shield breaks or ends inflict Fragile(20%) on all enemies for 2 turns.","Когда любой щит ломается или время его действия кончается, наложите Уязвимость(20%) на всех врагов на 2 хода."
ORANGE_RECOIL_3,"When any shield breaks or ends inflict Fragile(30%) on all enemies for 2 turns.","Когда любой щит ломается или время его действия кончается, наложите Уязвимость(30%) на всех врагов на 2 хода."
ORANGE_RECOIL_4,"When any shield breaks or ends inflict Fragile(40%) on all enemies for 2 turns.","Когда любой щит ломается или время его действия кончается, наложите Уязвимость(40%) на всех врагов на 2 хода."
ORANGE_RECOIL_5,"When any shield breaks or ends inflict Fragile(50%) on all enemies for 2 turns.","Когда любой щит ломается или время его действия кончается, наложите Уязвимость(50%) на всех врагов на 2 хода."
Passive: Recoil,Passive: Recoil,Пассивный Навык: Отдача
Recoil,Recoil,Отдача
Orange_Recoil,Recoil,Отдача
ORANGE_ADAPTATION_1,"ATK and DEF +6 for 3 turns.\nIf Salim doesn't have shield, he gains shield with 800% DEF HP for 3 turns.\nIf Salim has shield, it breaks, dealing oragne damage to all enemies equal to 100% of shield HP left.","АТК и DEF +6 на 3 хода.\nЕсли у Салима нет щита, он получает щит с 800% DEF ХП на 3 хода.\nЕсли у Салима есть щит, он ломается, нанося всем противникам оранжевый урон в размере 100% оставшихся ХП щита."
ORANGE_ADAPTATION_2,"ATK and DEF +8 for 3 turns.\nIf Salim doesn't have shield, he gains shield with 900% DEF HP for 3 turns.\nIf Salim has shield, it breaks, dealing oragne damage to all enemies equal to 130% of shield HP left.","АТК и DEF +8 на 3 хода.\nЕсли у Салима нет щита, он получает щит с 900% DEF ХП на 3 хода.\nЕсли у Салима есть щит, он ломается, нанося всем противникам оранжевый урон в размере 130% оставшихся ХП щита."
ORANGE_ADAPTATION_3,"ATK and DEF +10 for 4 turns.\nIf Salim doesn't have shield, he gains shield with 1000% DEF HP for 4 turns.\nIf Salim has shield, it breaks, dealing oragne damage to all enemies equal to 150% of shield HP left.","АТК и DEF +10 на 4 хода.\nЕсли у Салима нет щита, он получает щит с 1000% DEF ХП на 4 хода.\nЕсли у Салима есть щит, он ломается, нанося всем противникам оранжевый урон в размере 150% оставшихся ХП щита."
ORANGE_ADAPTATION_4,"ATK and DEF +12 for 4 turns.\nIf Salim doesn't have shield, he gains shield with 1100% DEF HP for 4 turns.\nIf Salim has shield, it breaks, dealing oragne damage to all enemies equal to 200% of shield HP left.","АТК и DEF +12 на 4 хода.\nЕсли у Салима нет щита, он получает щит с 1100% DEF ХП на 4 хода.\nЕсли у Салима есть щит, он ломается, нанося всем противникам оранжевый урон в размере 200% оставшихся ХП щита."
ORANGE_ADAPTATION_5,"ATK and DEF +15 for 5 turns.\nIf Salim doesn't have shield, he gains shield with 1200% DEF HP for 5 turns.\nIf Salim has shield, it breaks, dealing oragne damage to all enemies equal to 250% of shield HP left.","АТК и DEF +15 на 5 ходов.\nЕсли у Салима нет щита, он получает щит с 1200% DEF ХП на 5 ходов.\nЕсли у Салима есть щит, он ломается, нанося всем противникам оранжевый урон в размере 250% оставшихся ХП щита."
Ultimate: Adaptation,Ultimate: Adaptation,Ультимейт: Адаптация
Adaptation,Adaptation,Адаптация
Orange_Adaptation,Adaptation,Адаптация
"I've been holding this feelings to this moment...","I've been holding this feelings to this moment...","Я сдерживал все эти чувства до сего момента..."
"[I] will protect [me]","[I] will protect [me]","[Я] защищу [себя]"
ORANGE_STONE_COCOON_1,"RES and DEF +10 for 3 turns.\nDeal orange damage(150% ATK) to all enemies and gain 2 Blocks.","RES и DEF +10 на 3 хода.\nНанесите оранжевый урон(150% ATK) всем врагам и получите 2 Блока."
ORANGE_STONE_COCOON_2,"RES and DEF +15 for 3 turns.\nDeal orange damage(200% ATK) to all enemies and gain 3 Blocks.","RES и DEF +15 на 3 хода.\nНанесите оранжевый урон(200% ATK) всем врагам и получите 3 Блока."
ORANGE_STONE_COCOON_3,"RES and DEF +20 for 4 turns.\nDeal orange damage(250% ATK) to all enemies and gain 4 Blocks.","RES и DEF +20 на 4 хода.\nНанесите оранжевый урон(250% ATK) всем врагам и получите 4 Блока."
ORANGE_STONE_COCOON_4,"RES and DEF +30 for 4 turns.\nDeal orange damage(300% ATK) to all enemies and gain 5 Blocks.","RES и DEF +30 на 4 хода.\nНанесите оранжевый урон(300% ATK) всем врагам и получите 5 Блоков."
ORANGE_STONE_COCOON_5,"RES and DEF +40 for 5 turns.\nDeal orange damage(350% ATK) to all enemies and gain 6 Blocks.","RES и DEF +40 на 5 ходов.\nНанесите оранжевый урон(350% ATK) всем врагам и получите 6 Блоков."
Ultimate: Stone Cocoon,Ultimate: Stone Cocoon,Ультимейт: Каменный Кокон
Stone Cocoon,Stone Cocoon,Каменный Кокон
Orange_Stone_Cocoon,Stone Cocoon,Каменный Кокон
"I don't want to be hurt in the end...","I don't want to be hurt in the end...","В конце концов, я не хочу, чтобы меня ранили..."
YELLOW_LIGHTNING_STRIKE_1,"On hit deal yellow damage(100% ATK) to one enemy and reduce CD of all other skills by 1. If this attack defeats an enemy, you don't waste action.","При попадании нанесите желтый урон(100% ATK) одному врагу и сократите CD всех остальных навыков на 1. Если данная атака побеждает врага, вы не тратите действие."
YELLOW_LIGHTNING_STRIKE_2,"On hit deal yellow damage(120% ATK) to one enemy and reduce CD of all other skills by 1. If this attack defeats an enemy, you don't waste action.","При попадании нанесите желтый урон(120% ATK) одному врагу и сократите CD всех остальных навыков на 1. Если данная атака побеждает врага, вы не тратите действие."
YELLOW_LIGHTNING_STRIKE_3,"On hit deal yellow damage(140% ATK) to one enemy and reduce CD of all other skills by 2. If this attack defeats an enemy, you don't waste action.","При попадании нанесите желтый урон(140% ATK) одному врагу и сократите CD всех остальных навыков на 2. Если данная атака побеждает врага, вы не тратите действие."
YELLOW_LIGHTNING_STRIKE_4,"On hit deal yellow damage(160% ATK) to one enemy and reduce CD of all other skills by 2. If this attack defeats an enemy, you don't waste action.","При попадании нанесите желтый урон(160% ATK) одному врагу и сократите CD всех остальных навыков на 2. Если данная атака побеждает врага, вы не тратите действие."
YELLOW_LIGHTNING_STRIKE_5,"On hit deal yellow damage(200% ATK) to one enemy and reduce CD of all other skills by 3. If this attack defeats an enemy, you don't waste action.","При попадании нанесите желтый урон(200% ATK) одному врагу и сократите CD всех остальных навыков на 3. Если данная атака побеждает врага, вы не тратите действие."
Lightning Strike,Lightning Strike,Удар Молнии
Yellow_Lightning_Strike,Lightning Strike,Удар Молнии
YELLOW_ZIG_ZAG_1,"On hit deal yellow damage(120% ATK) to one enemy and inflict Closure(5) for 2 turns.","При попадании нанесите желтый урон(120% ATK) одному врагу и наложите Замыкание(5) на 2 хода."
YELLOW_ZIG_ZAG_2,"On hit deal yellow damage(140% ATK) to one enemy and inflict Closure(7) for 2 turns.","При попадании нанесите желтый урон(140% ATK) одному врагу и наложите Замыкание(7) на 2 хода."
YELLOW_ZIG_ZAG_3,"On hit deal yellow damage(160% ATK) to one enemy and inflict Closure(10) for 3 turns.","При попадании нанесите желтый урон(160% ATK) одному врагу и наложите Замыкание(10) на 3 хода."
YELLOW_ZIG_ZAG_4,"On hit deal yellow damage(180% ATK) to one enemy and inflict Closure(12) for 3 turns.","При попадании нанесите желтый урон(180% ATK) одному врагу и наложите Замыкание(12) на 3 хода."
YELLOW_ZIG_ZAG_5,"On hit deal yellow damage(220% ATK) to one enemy and inflict Closure(15) for 4 turns.","При попадании нанесите желтый урон(220% ATK) одному врагу и наложите Замыкание(15) на 4 хода."
Zig-Zag,Zig-Zag,Зиг-Заг
Yellow_Zig_Zag,Zig-Zag,Зиг-Заг
YELLOW_THUNDER_PULSE_1,"Restore 500% SEN HP and gain Haste(3;1) for 3 turns.","Восстановите 500% SEN ХП и получите Ускорение(3;1) на 3 хода."
YELLOW_THUNDER_PULSE_2,"Restore 600% SEN HP and gain Haste(4;1) for 3 turns.","Восстановите 600% SEN ХП и получите Ускорение(4;1) на 3 хода."
YELLOW_THUNDER_PULSE_3,"Restore 700% SEN HP and gain Haste(5;2) for 4 turns.","Восстановите 700% SEN ХП и получите Ускорение(5;2) на 4 хода."
YELLOW_THUNDER_PULSE_4,"Restore 800% SEN HP and gain Haste(6;2) for 4 turns.","Восстановите 800% SEN ХП и получите Ускорение(6;2) на 4 хода."
YELLOW_THUNDER_PULSE_5,"Restore 900% SEN HP and gain Haste(7;3) for 5 turns.","Восстановите 900% SEN ХП и получите Ускорение(7;3) на 5 ходов."
Thunder Pulse,Thunder Pulse,Громовой Пульс
Yellow_Thunder_Pulse,Thunder Pulse,Громовой Пульс
YELLOW_FLASH_OF_LIGHT_1,"On hit deal yellow damage(120% ATK) to one enemy and inflict Blind(20%) for 3 turns.","При попадании нанесите желтый урон(120% ATK) одному врагу и наложите Слепоту(20%) на 3 хода."
YELLOW_FLASH_OF_LIGHT_2,"On hit deal yellow damage(150% ATK) to one enemy and inflict Blind(30%) for 3 turns.","При попадании нанесите желтый урон(150% ATK) одному врагу и наложите Слепоту(20%) на 3 хода."
YELLOW_FLASH_OF_LIGHT_3,"On hit deal yellow damage(170% ATK) to one enemy and inflict Blind(40%) for 4 turns.","При попадании нанесите желтый урон(170% ATK) одному врагу и наложите Слепоту(20%) на 4 хода."
YELLOW_FLASH_OF_LIGHT_4,"On hit deal yellow damage(200% ATK) to one enemy and inflict Blind(50%) for 4 turns.","При попадании нанесите желтый урон(200% ATK) одному врагу и наложите Слепоту(20%) на 4 хода."
YELLOW_FLASH_OF_LIGHT_5,"On hit deal yellow damage(250% ATK) to one enemy and inflict Blind(60%) for 5 turns.","При попадании нанесите желтый урон(250% ATK) одному врагу и наложите Слепоту(20%) на 5 ходов."
Flash Of Light,Flash Of Light,Вспышка Света
Yellow_Flash_Of_Light,Flash Of Light,Вспышка Света
YELLOW_THUNDERSTORM_1,"Deal yellow damage(40% ATK) 5 times, each time targeting a random enemy. If this skill defeats an enemy, reduce CD of all other skills by 1.","Нанесите желтый урон(40% ATK) 5 раз, каждый раз атакуя случайного врага. Если враг был побежден этой способностью, сократите CD всех остальных навыков на 1."
YELLOW_THUNDERSTORM_2,"Deal yellow damage(50% ATK) 6 times, each time targeting a random enemy. If this skill defeats an enemy, reduce CD of all other skills by 1.","Нанесите желтый урон(50% ATK) 6 раз, каждый раз атакуя случайного врага. Если враг был побежден этой способностью, сократите CD всех остальных навыков на 1."
YELLOW_THUNDERSTORM_3,"Deal yellow damage(60% ATK) 7 times, each time targeting a random enemy. If this skill defeats an enemy, reduce CD of all other skills by 2.","Нанесите желтый урон(60% ATK) 7 раз, каждый раз атакуя случайного врага. Если враг был побежден этой способностью, сократите CD всех остальных навыков на 2."
YELLOW_THUNDERSTORM_4,"Deal yellow damage(70% ATK) 8 times, each time targeting a random enemy. If this skill defeats an enemy, reduce CD of all other skills by 2.","Нанесите желтый урон(70% ATK) 8 раз, каждый раз атакуя случайного врага. Если враг был побежден этой способностью, сократите CD всех остальных навыков на 2."
YELLOW_THUNDERSTORM_5,"Deal yellow damage(80% ATK) 9 times, each time targeting a random enemy. If this skill defeats an enemy, reduce CD of all other skills by 3.","Нанесите желтый урон(80% ATK) 9 раз, каждый раз атакуя случайного врага. Если враг был побежден этой способностью, сократите CD всех остальных навыков на 3."
Thunderstorm,Thunderstorm,Гроза
Yellow_Thunderstorm,Thunderstorm,Гроза
YELLOW_LIGHTNING_BREAK_1,"Normal attacks have 15% chance to deal yellow damage and inflict Closure(10%) for 2 turns.","Обычные атаки имеют 15% шанс нанести желтый урон и наложить Замыкание(10%) на 2 хода."
YELLOW_LIGHTNING_BREAK_2,"Normal attacks have 20% chance to deal yellow damage and inflict Closure(15%) for 2 turns.","Обычные атаки имеют 20% шанс нанести желтый урон и наложить Замыкание(15%) на 2 хода."
YELLOW_LIGHTNING_BREAK_3,"Normal attacks have 25% chance to deal yellow damage and inflict Closure(20%) for 3 turns.","Обычные атаки имеют 25% шанс нанести желтый урон и наложить Замыкание(20%) на 3 хода."
YELLOW_LIGHTNING_BREAK_4,"Normal attacks have 30% chance to deal yellow damage and inflict Closure(25%) for 3 turns.","Обычные атаки имеют 30% шанс нанести желтый урон и наложить Замыкание(25%) на 3 хода."
